state,code
arunachal pradesh,0
assam,1
bihar,2
chhattisgarh,3
gujarat,4
haryana,5
kerala,6
madhya pradesh,7
maharashtra,8
mizoram,9
nagaland,10
odisha,11
punjab,12
rajasthan,13
sikkim,14
tamilnadu,15
uttar pradesh,16
uttarakhand,17
west bengal,18
